Service	Invocations	Failures
bloodpressure-0	168	118
bloodpressurefilter-0	167	110
bloodpressuretransfer-0	166	107
centralhub-0	159	112
ecg-0	177	123
ecgfilter-0	176	127
ecgtransfer-0	175	118
oximeter-0	171	120
oximeterfilter-0	170	114
oximetertransfer-0	169	118
thermometer-0	174	131
thermometerfilter-0	173	120
thermometertransfer-0	172	103

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	1	-	-	-	-	-	-	-	-	
4	-	-	-	-	1	1	-	-	-	-	-	-	-	
5	-	-	-	-	1	0	1	-	-	-	-	-	-	
6	-	-	-	-	1	1	0	-	-	-	1	-	-	
7	-	-	-	-	1	1	1	-	-	-	1	1	-	
8	-	-	-	-	0	1	0	-	-	-	1	1	0	
9	-	-	-	-	1	1	0	0	-	-	0	1	1	
10	-	-	-	-	0	1	0	1	1	-	1	1	0	
11	-	-	-	-	1	1	1	0	1	1	1	1	0	
12	1	-	-	-	0	1	1	1	1	1	1	0	0	
13	1	0	-	-	0	1	1	1	1	1	0	1	1	
14	1	1	1	-	1	1	0	1	1	1	1	1	0	
15	1	1	0	0	1	1	1	0	1	1	0	1	0	
16	1	1	1	0	0	1	0	1	0	0	1	1	1	
17	1	1	0	1	1	1	0	1	0	0	1	1	1	
18	1	0	0	1	1	1	0	0	1	0	0	1	0	
19	1	1	1	1	1	1	0	1	1	0	1	1	1	
20	1	1	1	1	1	1	1	1	1	1	1	0	1	
21	0	1	1	0	0	1	0	1	0	0	0	0	1	
22	1	0	1	1	1	1	1	1	1	1	1	1	1	
23	0	0	0	1	0	1	1	1	0	1	1	1	0	
24	1	1	1	1	1	0	1	1	1	0	1	0	1	
25	1	1	1	0	1	1	1	0	1	1	1	1	0	
26	1	1	1	1	1	1	1	0	0	1	0	1	1	
27	1	0	1	1	1	1	0	1	1	1	0	0	0	
28	1	1	0	1	1	0	0	1	1	1	1	1	1	
29	1	1	0	1	1	0	0	1	0	1	1	1	1	
30	0	0	1	1	1	0	1	0	1	1	1	1	0	
31	1	0	1	1	1	1	1	0	1	1	1	1	1	
32	1	1	0	0	1	1	1	0	0	1	1	0	0	
33	0	1	0	1	1	0	0	0	0	1	1	0	1	
34	1	1	1	1	0	1	1	1	0	0	1	0	1	
35	0	1	1	0	1	0	0	0	0	1	1	1	1	
36	0	1	0	1	0	0	0	0	0	1	0	1	0	
37	1	1	1	1	0	1	0	1	1	0	1	1	0	
38	1	0	0	0	1	1	1	0	1	1	0	1	1	
39	1	1	0	0	0	1	1	0	1	0	1	1	1	
40	1	1	0	1	1	1	1	1	1	1	1	0	1	
41	0	0	1	0	1	1	0	1	1	0	0	0	1	
42	1	1	1	1	1	1	1	1	1	0	1	0	1	
43	1	1	1	1	1	1	1	1	0	0	1	0	1	
44	0	0	1	1	1	1	1	1	0	1	1	0	1	
45	1	1	0	0	0	1	1	1	1	1	0	1	0	
46	0	1	0	1	1	1	0	1	0	1	1	1	0	
47	0	0	1	1	0	0	1	0	0	1	0	1	1	
48	1	1	0	1	0	1	1	1	1	1	1	0	1	
49	1	0	1	1	0	1	1	1	1	0	1	1	1	
50	1	1	0	0	1	0	1	0	0	0	1	0	1	
51	1	1	1	1	1	1	0	1	0	0	1	0	1	
