Service	Invocations	Failures
bloodpressure-0	154	106
bloodpressurefilter-0	152	116
bloodpressuretransfer-0	152	110
centralhub-0	149	102
ecg-0	162	116
ecgfilter-0	161	101
ecgtransfer-0	160	105
oximeter-0	156	103
oximeterfilter-0	155	100
oximetertransfer-0	154	110
thermometer-0	159	116
thermometerfilter-0	158	104
thermometertransfer-0	157	107

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	1	-	-	-	-	-	-	-	-	
4	-	-	-	-	1	1	-	-	-	-	-	-	-	
5	-	-	-	-	1	0	0	-	-	-	-	-	-	
6	-	-	-	-	0	0	1	-	-	-	0	-	-	
7	-	-	-	-	1	0	1	-	-	-	0	1	-	
8	-	-	-	-	0	1	0	-	-	-	1	1	1	
9	-	-	-	-	0	1	1	0	-	-	1	0	0	
10	-	-	-	-	1	1	0	1	1	-	1	1	1	
11	-	-	-	-	1	1	1	1	1	1	0	1	1	
12	1	-	-	-	1	0	1	0	0	0	1	1	0	
13	1	0	-	-	0	1	1	1	1	0	1	1	1	
14	0	1	1	-	0	0	0	1	1	0	1	0	0	
15	1	1	1	0	1	1	0	1	0	0	0	1	1	
16	1	1	1	1	1	1	1	1	0	1	0	0	0	
17	1	1	0	0	1	1	0	1	1	1	1	1	1	
18	1	1	1	1	1	1	1	1	1	1	1	1	0	
19	1	1	1	1	0	0	1	1	1	1	1	1	1	
20	1	1	1	1	1	1	1	1	1	1	1	1	1	
21	1	1	1	1	1	0	1	1	1	0	0	0	0	
22	0	1	1	1	1	1	1	0	1	1	0	1	0	
23	0	1	1	0	1	1	1	0	1	0	1	1	1	
24	1	1	0	1	0	1	1	1	1	1	1	1	1	
25	1	1	1	1	1	1	1	1	1	1	1	1	1	
26	1	1	0	1	1	1	1	1	1	1	1	1	1	
27	1	1	1	0	0	1	1	0	1	0	1	1	0	
28	1	1	1	0	1	0	0	0	0	0	0	1	1	
29	1	1	1	0	1	1	1	0	0	1	0	1	0	
30	0	1	0	1	1	0	0	1	0	1	1	0	0	
31	0	1	1	1	1	0	1	0	1	1	1	1	1	
32	1	1	1	0	1	1	1	1	1	1	0	1	1	
33	1	1	0	1	0	0	1	1	1	1	1	0	1	
34	1	1	0	0	0	0	0	0	1	1	0	0	0	
35	0	1	0	1	1	1	1	0	0	1	1	1	1	
36	1	0	0	0	1	1	1	1	1	0	1	1	1	
37	1	1	1	0	0	0	1	1	0	1	1	1	1	
38	1	0	1	1	1	0	0	0	0	1	1	0	0	
39	1	0	1	1	1	1	1	1	1	1	1	0	1	
40	0	1	1	0	1	1	0	1	1	0	1	1	1	
41	1	1	1	1	0	1	0	0	1	1	1	1	1	
42	1	1	1	0	1	0	1	0	1	1	1	1	1	
43	1	1	0	1	1	0	0	1	1	1	1	1	0	
44	1	1	1	0	1	0	0	1	0	0	0	1	0	
45	1	1	0	1	1	0	0	1	1	1	0	1	1	
46	0	1	1	0	0	0	0	1	1	1	1	1	1	
47	1	1	1	1	1	1	0	0	1	1	1	1	0	
48	1	1	0	0	1	1	1	1	1	1	1	1	1	
49	0	0	0	0	0	0	1	0	1	1	1	1	0	
50	1	0	1	0	1	1	1	0	1	1	1	1	0	
51	1	1	1	1	1	1	1	1	1	1	0	0	0	
